	Description		
Earth Magic	"{Phép đất Sơ cấp}

Phép đất Sơ cấp giảm chi phí khi tướng dùng phép đất."	"{Phép đất Thứ cấp}

Phép đất Thứ cấp cho tướng dùng phép đất mạnh hơn và tốn ít phí hơn."	"{Phép đất Cao cấp}

Phép đất Cao cấp cho tướng dùng phép đất tốn ít phí hơn với hiệu quả cao nhất."
Scholar	"{Truyện bá Sơ cấp}

Truyện bá Sơ cấp giúp các tướng trao đổi phép cấp 1 và cấp 2 với nhau."	"{Truyện bá Thứ cấp}

Truyện bá Thứ cấp giúp các tướng trao đổi các phép từ cấp 3 trở xuống với nhau."	"{Truyện bá Cao cấp}

Truyện bá Cao cấp giúp các tướng trao đổi các phép từ cấp 4 trở xuống với nhau."
Tactics	"{Chiến thuật Sơ cấp}

Chiến thuật Sơ cấp cho tướng sắp xếp lại quân đội trong 3 hàng trước mặt tướng."	"{Chiến thuật Thứ cấp}

Chiến thuật Thứ cấp cho tướng sắp xếp lại quân đội trong 5 hàng trước mặt tướng."	"{Chiến thuật Cao cấp}

Chiến thuật Cao cấp cho tướng sắp xếp lại quân đội trong 7 hàng trước mặt tướng."
Artillery	"{Pháo binh Sơ cấp}

Pháo binh Sơ cấp cho phép tướng điều khiển xe bắn tên, bắn 2 lần và có 50% cơ hội nhân đôi sát thương."	"{Pháo binh Thứ cấp}

Pháo binh Thứ cấp cho phép tướng điều khiển xe bắn tên, bắn 2 lần và có 75% cơ hội nhân đôi sát thương."	"{Pháo binh Cao cấp}

Pháo binh Cao cấp cho phép tướng điều khiển xe bắn tên, bắn 2 lần với sát thương gấp đôi bình thường."
Learning	"{Trải nghiệm Sơ cấp}

Trải nghiệm Sơ cấp tăng 5% lượng kinh nghiệm mà tướng đạt được."	"{Trải nghiệm Thứ cấp}

Trải nghiệm Thứ cấp tăng 10% lượng kinh nghiệm mà tướng đạt được."	"{Trải nghiệm Cao cấp}

Trải nghiệm Cao cấp tăng 15% lượng kinh nghiệm mà tướng đạt được."
Offense	"{Cận chiến Sơ cấp}

Cận chiến Sơ cấp tăng 10% sát thương cận chiến."	"{Cận chiến Thứ cấp}

Cận chiến Thứ cấp tăng 20% sát thương cận chiến."	"{Cận chiến Cao cấp}

Cận chiến Cao cấp tăng 30% sát thương cận chiến."
Armorer	"{Giáp trụ Sơ cấp}

Giáp trụ Sơ cấp giảm 5% sát thương từ quân địch."	"{Giáp trụ Thứ cấp}

Giáp trụ Thứ cấp giảm 10% sát thương từ quân địch."	"{Giáp trụ Cao cấp}

Giáp trụ Cao cấp giảm 15% sát thương từ quân địch."
Intelligence	"{Thông thái Sơ cấp}

Thông thái Sơ cấp tăng 25% năng lượng cho tướng."	"{Thông thái Thứ cấp}

Thông thái Thứ cấp tăng 50% năng lượng cho tướng."	"{Thông thái Cao cấp}

Thông thái Cao cấp nhân đôi năng lượng cho tướng."
Sorcery	"{Ma pháp Sơ cấp}

Ma pháp Sơ cấp tăng 5% sát thương phép của tướng trong trận chiến."	"{Ma pháp Thứ cấp}

Ma pháp Thứ cấp tăng 10% sát thương phép của tướng trong trận chiến."	"{Ma pháp Cao cấp}

Ma pháp Cao cấp tăng 15% sát thương phép của tướng trong trận chiến."
Resistance	"{Kháng phép Sơ cấp}

Kháng phép Sơ cấp cho quân 5% khả năng kháng phép."	"{Kháng phép Thứ cấp}

Kháng phép Thứ cấp cho quân 10% khả năng kháng phép."	"{Kháng phép Cao cấp}

Kháng phép Cao cấp cho quân 20% khả năng kháng phép."
First Aid	"{Cứu thương Sơ cấp}

Cứu thương Sơ cấp cho tướng điều khiển lều cứu thương, hồi 50 máu cho quân đầu tiên trong đạo quân được chọn."	"{Cứu thương Thứ cấp}

Cứu thương Thứ cấp cho tướng điều khiển lều cứu thương, hồi 75 máu cho quân đầu tiên trong đạo quân được chọn."	"{Cứu thương Cao cấp}

Cứu thương Cao cấp cho tướng điều khiển lều cứu thương, hồi 100 máu cho quân đầu tiên trong đạo quân được chọn."
