			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Fly	Bay	5	 	 	 	x	20	15	15	15	0	60	60	80	100	0	16	16	16	16	12	0	0	13	30	30	40	50	"{Bay}

Cho phép quân đội của bạn sử dụng một phần điểm di chuyển để bay xuyên qua các vật cản. Bạn phải hạ cánh ở cuối lượt di chuyển.
"	"{Bay Sơ Cấp}

Cho phép quân đội của bạn sử dụng một phần điểm di chuyển để bay xuyên qua các vật cản. Bạn phải hạ cánh ở cuối lượt di chuyển.
"	"{Bay Thứ cấp}

Cho phép quân đội của bạn sử dụng hầu hết điểm di chuyển để bay xuyên qua các vật cản. Bạn phải hạ cánh ở cuối lượt di chuyển.
"	"{Bay Cao Cấp}

Cho phép quân đội của bạn sử dụng toàn bộ điểm di chuyển để bay xuyên qua các vật cản. Bạn phải hạ cánh ở cuối lượt di chuyển.
"	 ADV_SPELL
Water Walk	Đi Trên Nước	4	 	x	 	 	12	8	8	8	0	60	60	80	100	10	10	10	10	10	10	0	0	10	15	15	20	25	"{Đi Trên Nước}

Cho phép quân đội của bạn sử dụng một phần điểm di chuyển để băng qua một vùng nước. Tuy nhiên bạn phải kết thúc lượt di chuyển đó ở trên vùng đất liền.
"	"{Đi Trên Nước Sơ Cấp}

Cho phép quân đội của bạn sử dụng một phần điểm di chuyển để băng qua một vùng nước. Tuy nhiên bạn phải kết thúc lượt di chuyển đó ở trên vùng đất liền.
"	"{Đi Trên Nước Thứ Cấp}

Cho phép quân đội của bạn sử dụng gần hết điểm di chuyển để băng qua một vùng nước. Tuy nhiên bạn phải kết thúc lượt di chuyển đó ở trên vùng đất liền.
"	"{Đi Trên Nước Cao Cấp}

Cho phép quân đội của bạn sử dụng tất cả điểm di chuyển để băng qua một vùng nước. Tuy nhiên bạn phải kết thúc lượt di chuyển đó ở trên vùng đất liền.
"	 ADV_SPELL
Dimension Door	Cổng Dịch Chuyển	5	 	 	 	x	25	20	20	20	0	1	2	3	4	0	20	14	16	16	16	0	0	13	30	30	40	50	"{Cổng Dịch Chuyển}

Cứ 1 lần trong ngày, bạn có thể dịch chuyển tướng của mình đến một nơi đã nhìn thấy được và nơi đó phải còn trống trên bản đồ.
"	"{Cổng Dịch Chuyển Sơ Cấp}

Cứ 2 lần trong ngày, bạn có thể dịch chuyển tướng của mình đến một nơi đã nhìn thấy được và nơi đó phải còn trống trên bản đồ.
"	"{Cổng Dịch Chuyển Thứ Cấp}

Cứ 3 lần trong ngày, bạn có thể dịch chuyển tướng của mình đến một nơi đã nhìn thấy được và nơi đó phải còn trống trên bản đồ.
"	"{Cổng Dịch Chuyển Cao Cấp}

Cứ 4 lần trong ngày, bạn có thể dịch chuyển tướng của mình đến một nơi đã nhìn thấy được và nơi đó phải còn trống trên bản đồ.
"	 ADV_SPELL
Town Portal	Hồi Thành	4	x	 	 	 	16	12	12	12	0	0	0	0	0	10	10	10	10	10	10	0	0	10	5	5	70	70	"{Hồi Thành}

Dịch chuyển tướng của bạn về một thành gần nhất và thành đó phải còn trống.
"	"{Hồi Thành Sơ Cấp}

Dịch chuyển tướng của bạn về một thành gần nhất và thành đó phải còn trống.
"	"{Hồi Thành Thứ Cấp}

Dịch chuyển tướng của bạn về bất kì một thành nào được chọn và thành đó phải còn trống.
"	"{Hồi Thành Cao Cấp}

Dịch chuyển tướng của bạn về bất kì một thành nào được chọn và thành đó phải còn trống.
"	 ADV_SPELL
																																	
Combat Spells																																	
																																	
Quicksand	Cát Lún	2	x	 	 	 	8	6	6	6	0	0	0	0	0	4	4	6	4	4	4	6	6	4	1	1	1	1	"{Cát Lún}

Ngẫu nhiên tạo ra 4 vùng cát lún nhỏ trên chiến trường mà chỉ có người triển khai phép thuật và quân quen thuộc với địa hình mới thấy được. Bất kì quân nào bước vào vùng cát lún sẽ ngừng di chuyển trong lượt và vùng cát lún sẽ bị lộ ra.
"	"{Cát Lún Sơ Cấp}

Ngẫu nhiên tạo ra 4 vùng cát lún nhỏ trên chiến trường mà chỉ có người triển khai phép thuật và quân quen thuộc với địa hình mới thấy được. Bất kì quân nào bước vào vùng cát lún sẽ ngừng di chuyển trong lượt và vùng cát lún sẽ bị lộ ra.
"	"{Cát Lún Thứ Cấp}

Ngẫu nhiên tạo ra 6 vùng cát lún nhỏ trên chiến trường mà chỉ có người triển khai phép thuật và quân quen thuộc với địa hình mới thấy được. Bất kì quân nào bước vào vùng cát lún sẽ ngừng di chuyển trong lượt và vùng cát lún sẽ bị lộ ra.
"	"{Cát Lún Cao Cấp}

Ngẫu nhiên tạo ra 8 vùng cát lún nhỏ trên chiến trường mà chỉ có người triển khai phép thuật và quân quen thuộc với địa hình mới thấy được. Bất kì quân nào bước vào vùng cát lún sẽ ngừng di chuyển trong lượt và vùng cát lún sẽ bị lộ ra.
"	 COMBAT_SPELL|LOCATION_TARGET
Land Mine	Địa Lôi	3	 	 	x	 	18	15	15	15	10	25	25	50	100	8	8	8	6	8	12	8	2	4	1	1	1	1	"{Địa Lôi}

Ngẫu nhiên đặt 4 khu vực nhỏ có địa lôi trên chiến trường mà chỉ có người triển khai phép thuật và quân quen thuộc với địa hình mới thấy được. Địa lôi sẽ gây sát thương cho bất kì quân địch nào dẫm phải.
"	"{Địa Lôi Sơ Cấp}

Ngẫu nhiên đặt 4 khu vực nhỏ có địa lôi trên chiến trường mà chỉ có người triển khai phép thuật và quân quen thuộc với địa hình mới thấy được. Địa lôi sẽ gây sát thương cho bất kì quân địch nào dẫm phải.
"	"{Địa Lôi Thứ Cấp}

Ngẫu nhiên đặt 6 khu vực nhỏ có địa lôi trên chiến trường mà chỉ có người triển khai phép thuật và quân quen thuộc với địa hình mới thấy được. Địa lôi sẽ gây sát thương cho bất kì quân địch nào dẫm phải.

Gây sát thương thêm 25 điểm so với Địa Lôi Sơ Cấp.
"	"{Địa Lôi Cao Cấp}

Ngẫu nhiên đặt 8 khu vực nhỏ có địa lôi trên chiến trường mà chỉ có người triển khai phép thuật và quân quen thuộc với địa hình mới thấy được. Địa lôi sẽ gây sát thương cho bất kì quân địch nào dẫm phải.

Gây sát thương thêm 75 điểm so với Địa Lôi Sơ Cấp.
"	 COMBAT_SPELL|LOCATION_TARGET
Force Field	Trường Năng Lượng	3	x	 	 	 	12	9	9	9	0	0	0	0	0	4	4	8	2	8	8	4	4	8	1	1	1	1	"{Trường Năng Lượng}

Tạo ra một trường năng lượng nhỏ trên chiến trường được chỉ định cụ thể bởi người thi triển.
"	"{Trường Năng Lượng Sơ Cấp}

Tạo ra một trường năng lượng nhỏ trên chiến trường được chỉ định cụ thể bởi người thi triển.
"	"{Trường Năng Lượng Thứ Cấp}

Tạo ra một trường năng lượng vừa trên chiến trường được chỉ định cụ thể bởi người thi triển.
"	"{Trường Năng Lượng Cao Cấp}

Tạo ra một trường năng lượng vừa trên chiến trường được chỉ định cụ thể bởi người thi triển.
"	 COMBAT_SPELL|LOCATION_TARGET
Fire Wall	Tường Lửa	2	 	 	x	 	8	6	6	6	10	10	10	20	50	4	4	4	12	4	4	4	4	8	1	1	1	1	"{Tường Lửa}

Tạo ra một đám cháy nhỏ trên chiến trường được chỉ định cụ thể bởi người thi triển. Bất kì quân nào đi qua nó sẽ chịu một lượng sát thương.
"	"{Tường Lửa Sơ Cấp}

Tạo ra một đám cháy nhỏ trên chiến trường được chỉ định cụ thể bởi người thi triển. Bất kì quân nào đi qua nó sẽ chịu một lượng sát thương.
"	"{Tường Lửa Thứ Cấp}

Tạo ra một đám cháy vừa trên chiến trường được chỉ định cụ thể bởi người thi triển. Bất kì quân nào đi qua nó sẽ chịu một lượng sát thương.
"	"{Tường Lửa Cao Cấp}

Tạo ra một đám cháy vừa trên chiến trường được chỉ định cụ thể bởi người thi triển. Bất kì quân nào đi qua nó sẽ chịu một lượng sát thương.
"	 COMBAT_SPELL|LOCATION_TARGET
Earthquake	Địa Chấn	3	x	 	 	 	20	17	17	17	1	2	2	3	4	4	8	4	6	4	4	4	50	4	1	1	1	1	"{Địa Chấn}

Ngẫu nhiên phá hủy 2 đoạn tường thành trong trận chiến.
"	"{Địa Chấn Sơ Cấp}

Ngẫu nhiên phá hủy 2 đoạn tường thành trong trận chiến.
"	"{Địa Chấn Thứ Cấp}

Ngẫu nhiên phá hủy 3 đoạn tường thành trong trận chiến.
"	"{Địa Chấn Cao Cấp}

Ngẫu nhiên phá hủy 4 đoạn tường thành trong trận chiến.
"	 COMBAT_SPELL
Magic Arrow	Mũi Tên Ma Thuật	1	x	x	x	x	5	4	4	4	10	10	10	20	30	30	30	30	30	30	30	30	30	30	10	10	10	10	"{Mũi Tên Ma Thuật}

Tạo ra một mũi tên có chứa năng lượng ma thuật lao thẳng vào đơn vị quân được chọn.
"	"{Mũi Tên Ma Thuật Sơ Cấp}

Tạo ra một mũi tên có chứa năng lượng ma thuật lao thẳng vào đơn vị quân được chọn.
"	"{Mũi Tên Ma Thuật Thứ Cấp}

Tạo ra một mũi tên có chứa năng lượng ma thuật lao thẳng vào đơn vị quân được chọn.

Tăng 10 điểm sát thương so với Mũi Tên Ma Thuật Sơ Cấp.
"	"{Mũi Tên Ma Thuật Cao Cấp}

Tạo ra một mũi tên có chứa năng lượng ma thuật lao thẳng vào đơn vị quân được chọn.

Tăng 20 điểm sát thương so với Mũi Tên Ma Thuật Sơ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET
Ice Bolt	Băng Tiễn	2	 	x	 	 	8	6	6	6	20	10	10	20	50	50	50	6	0	6	6	4	50	25	20	20	20	20	"{Băng Tiễn}

Hấp thụ hết lượng nhiệt cơ thể của đơn vị quân địch được chọn.
"	"{Băng Tiễn Sơ Cấp}

Hấp thụ hết lượng nhiệt cơ thể của đơn vị quân địch được chọn.
"	"{Băng Tiễn Thứ Cấp}

Hấp thụ hết lượng nhiệt cơ thể của đơn vị quân địch được chọn.

Tăng 10 điểm sát thương so với Băng Tiễn Sơ Cấp.
"	"{Băng Tiễn Cao Cấp}

Hấp thụ hết lượng nhiệt cơ thể của đơn vị quân địch được chọn.

Tăng 40 điểm sát thương so với Băng Tiễn Sơ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET
Lightning Bolt	Sét Giáng	2	 	 	 	x	10	8	8	8	25	10	10	20	50	4	4	50	20	6	50	50	4	25	25	25	25	25	"{Sét Giáng}

Tạo ra một tia sét giáng xuống đơn vị quân đã chọn.
"	"{Sét Giáng Sơ Cấp}

Tạo ra một tia sét giáng xuống đơn vị quân đã chọn.
"	"{Sét Giáng Thứ Cấp}

Tạo ra một tia sét giáng xuống đơn vị quân đã chọn.

Tăng 10 điểm sát thương so với Sét Giáng Sơ Cấp.
"	"{Sét Giáng Cao Cấp}

Tạo ra một tia sét giáng xuống đơn vị quân đã chọn.

Tăng 40 điểm sát thương so với Sét Giáng Sơ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET
Implosion	Nổ Sập	5	x	 	 	 	30	25	25	25	75	100	100	200	300	0	16	14	16	20	12	0	0	13	75	75	75	75	"{Nổ Sập}

Giáng một đòn sát thương khủng khiếp vào một đạo quân.
"	"{Nổ Sập Sơ Cấp}

Giáng một đòn sát thương khủng khiếp vào một đạo quân.
"	"{Nổ Sập Thứ Cấp}

Giáng một đòn sát thương khủng khiếp vào một đạo quân.

Tăng 100 điểm sát thương so với Nổ Sập Sơ Cấp.
"	"{Nổ Sập Cao Cấp}

Giáng một đòn sát thương khủng khiếp vào một đạo quân.

Tăng 200 điểm sát thương so với Nổ Sập Sơ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET
Chain Lightning	Sét Chuyền	4	 	 	 	x	24	20	20	20	40	25	25	50	100	10	10	10	10	10	10	0	0	10	75	75	75	75	"{Sét Chuyền}

Tạo ra một tia sét giáng xuống đơn vị quân địch được chọn sau đó tia sét sẽ lan đến đối tượng gần nhất trong tầm và gây một nửa sát thương trước khi lan đến đối tượng kế tiếp, cứ thế gây thêm một nửa sát thương trước khi lan đến đối tượng tiếp sau nó. Đòn đánh lan được bốn đối tượng.
"	"{Sét Chuyền Sơ Cấp}

Tạo ra một tia sét giáng xuống đơn vị quân địch được chọn sau đó tia sét sẽ lan đến đối tượng gần nhất trong tầm và gây một nửa sát thương trước khi lan đến đối tượng kế tiếp, cứ thế gây thêm một nửa sát thương trước khi lan đến đối tượng tiếp sau nó. Đòn đánh lan được bốn đối tượng.
"	"{Sét Chuyền Thứ Cấp}

Tạo ra một tia sét giáng xuống đơn vị quân địch được chọn sau đó tia sét sẽ lan đến đối tượng gần nhất trong tầm và gây một nửa sát thương trước khi lan đến đối tượng kế tiếp, cứ thế gây thêm một nửa sát thương trước khi lan đến đối tượng tiếp sau nó. Đòn đánh lan được năm đối tượng.

Sát thương đầu tiên tăng 25 điểm so với Sét Chuyền Sơ Cấp.
"	"{Sét Chuyền Cao Cấp}

Tạo ra một tia sét giáng xuống đơn vị quân địch được chọn sau đó tia sét sẽ lan đến đối tượng gần nhất trong tầm và gây một nửa sát thương trước khi lan đến đối tượng kế tiếp, cứ thế gây thêm một nửa sát thương trước khi lan đến đối tượng tiếp sau nó. Đòn đánh lan được năm đối tượng.

Sát thương đầu tiên tăng 75 điểm so với Sét Chuyền Sơ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET
Frost Ring	Vòng Băng	3	 	x	 	 	12	9	9	9	10	15	15	30	60	16	16	16	0	12	12	12	4	12	12	12	12	12	"{Vòng Băng}

Hấp thụ hết lượng nhiệt cơ thể của bất kì đơn vị quân nào gần với vị trí đối tượng mà không gây sát thương lên đối tượng.
"	"{Vòng Băng Sơ Cấp}

Hấp thụ hết lượng nhiệt cơ thể của bất kì đơn vị quân nào gần với vị trí đối tượng mà không gây sát thương lên đối tượng.
"	"{Vòng Băng Thứ Cấp}

Hấp thụ hết lượng nhiệt cơ thể của bất kì đơn vị quân nào gần với vị trí đối tượng mà không gây sát thương lên đối tượng.

Tăng 15 điểm sát thương so với Vòng Băng Sơ Cấp.
"	"{Vòng Băng Cao Cấp}

Hấp thụ hết lượng nhiệt cơ thể của bất kì đơn vị quân nào gần với vị trí đối tượng mà không gây sát thương lên đối tượng.

Tăng 45 điểm sát thương so với Vòng Băng Sơ Cấp.
"	 COMBAT_SPELL|LOCATION_TARGET
Fireball	Cầu Lửa	3	 	 	x	 	15	12	12	12	10	15	15	30	60	8	8	8	50	12	16	12	2	12	15	15	15	15	"{Cầu Lửa}

Khiến cho đối tượng được xác định cháy thành than và gây hỏa thương với bất kì đơn vị quân nào ở gần đối tượng.
"	"{Cầu Lửa Sơ Cấp}

Khiến cho đối tượng được xác định cháy thành than và gây hỏa thương với bất kì đơn vị quân nào ở gần đối tượng.
"	"{Cầu Lửa Thứ Cấp}

Khiến cho đối tượng được xác định cháy thành than và gây hỏa thương với bất kì đơn vị quân nào ở gần đối tượng.

Tăng 10 điểm sát thương so với Cầu Lửa Sơ Cấp.
"	"{Cầu Lửa Cao Cấp}

Khiến cho đối tượng được xác định cháy thành than và gây hỏa thương với bất kì đơn vị quân nào ở gần đối tượng.

Tăng 45 điểm sát thương so với Cầu Lửa Sơ Cấp.
"	 COMBAT_SPELL|LOCATION_TARGET
Inferno	Hỏa Ngục	4	 	 	x	 	16	12	12	12	10	20	20	40	80	5	5	5	10	5	5	0	0	10	20	20	20	20	"{Hỏa Ngục}

Tạo ra một vụ nổ lớn đập vào mục tiêu được chọn. Xin đừng ở gần đó khi mà nó sắp nổ!
"	"{Hỏa Ngục Sơ Cấp}

Tạo ra một vụ nổ lớn đập vào mục tiêu được chọn. Xin đừng ở gần đó khi mà nó sắp nổ!
"	"{Hỏa Ngục Thứ Cấp}

Tạo ra một vụ nổ lớn đập vào mục tiêu được chọn. Xin đừng ở gần đó khi mà nó sắp nổ!

Tăng 20 điểm sát thương so với Cầu Lửa Sơ Cấp.
"	"{Hỏa Ngục Cao Cấp}

Tạo ra một vụ nổ lớn đập vào mục tiêu được chọn. Xin đừng ở gần đó khi mà nó sắp nổ!

Tăng 60 điểm sát thương so với Cầu Lửa Sơ Cấp.
"	 COMBAT_SPELL|LOCATION_TARGET
Meteor Shower	Mưa Thiên Thạch	4	x	 	 	 	16	12	12	12	25	25	25	50	100	10	10	10	10	10	10	0	0	10	37	37	37	37	"{Mưa Thiên Thạch}

Tạo ra mưa thiên thạch rơi xuống mục tiêu được chọn và bất ký đơn vị quân nào cận kề.
"	"{Mưa Thiên Thạch Sơ Cấp}

Tạo ra mưa thiên thạch rơi xuống mục tiêu được chọn và bất ký đơn vị quân nào cận kề.
"	"{Mưa Thiên Thạch Thứ Cấp}

Tạo ra mưa thiên thạch rơi xuống mục tiêu được chọn và bất ký đơn vị quân nào cận kề.

Tăng 25 điểm sát thương so với Mưa Thiên Thạch Sơ Cấp.
"	"{Mưa Thiên Thạch Cao Cấp}

Tạo ra mưa thiên thạch rơi xuống mục tiêu được chọn và bất ký đơn vị quân nào cận kề.

Tăng 75 điểm sát thương so với Mưa Thiên Thạch Sơ Cấp.
"	 COMBAT_SPELL|LOCATION_TARGET
Death Ripple	Làn Sóng Chết	2	x	 	 	 	10	8	8	8	5	10	10	20	30	0	0	0	0	50	0	0	0	0	20	20	20	20	"{Làn Sóng Chết}

Gửi một làn sóng từ cõi âm lan rộng khắp chiến trường, gây sát thương lên tất cả các đơn vị quân (ngoại trừ âm binh).
"	"{Làn Sóng Chết Sơ Cấp}

Gửi một làn sóng từ cõi âm lan rộng khắp chiến trường, gây sát thương lên tất cả các đơn vị quân (ngoại trừ âm binh).
"	"{Làn Sóng Chết Thứ Cấp}

Gửi một làn sóng từ cõi âm lan rộng khắp chiến trường, gây sát thương lên tất cả các đơn vị quân (ngoại trừ âm binh).

Tăng 10 điểm sát thương so với Làn Sóng Chết Sơ Cấp.
"	"{Làn Sóng Chết Cao Cấp}

Gửi một làn sóng từ cõi âm lan rộng khắp chiến trường, gây sát thương lên tất cả các đơn vị quân (ngoại trừ âm binh).

Tăng 25 điểm sát thương so với Làn Sóng Chết Sơ Cấp.
"	 COMBAT_SPELL
Destroy Undead	Hơi Thở Thần Thánh	3	 	 	 	x	15	12	12	12	10	10	10	20	50	12	8	8	2	0	4	4	2	4	40	40	40	40	"{Hơi Thở Thần Thánh}

Gây sát thương cho tất cả các đơn vị quân âm binh trên chiến trường.
"	"{Hơi Thở Thần Thánh Sơ Cấp}

Gây sát thương cho tất cả các đơn vị quân âm binh trên chiến trường.
"	"{Hơi Thở Thần Thánh Thứ Cấp}

Gây sát thương cho tất cả các đơn vị quân âm binh trên chiến trường.

Tăng 10 điểm sát thương so với Hơi Thở Thần Thánh Sơ Cấp.
"	"{Hơi Thở Thần Thánh Cao Cấp}

Gây sát thương cho tất cả các đơn vị quân âm binh trên chiến trường.

Tăng 40 điểm sát thương so với Hơi Thở Thần Thánh Sơ Cấp.
"	 COMBAT_SPELL
Armageddon	Tận Thế	4	 	 	x	 	24	20	20	20	50	30	30	60	120	0	0	0	5	5	10	0	0	0	100	100	100	100	"{Tận Thế}

Tạo ra cơn mưa lửa dọc khắp chiến trường, gây sát thương cho tất cả các đơn vị quân.
"	"{Tận Thế Sơ Cấp}

Tạo ra cơn mưa lửa dọc khắp chiến trường, gây sát thương cho tất cả các đơn vị quân.
"	"{Tận Thế Thứ Cấp}

Tạo ra cơn mưa lửa dọc khắp chiến trường, gây sát thương cho tất cả các đơn vị quân.

Tăng 10 điểm sát thương so với Tận Thế Sơ Cấp.
"	"{Tận Thế Cao Cấp}

Tạo ra cơn mưa lửa dọc khắp chiến trường, gây sát thương cho tất cả các đơn vị quân.

Tăng 90 điểm sát thương so với Tận Thế Sơ Cấp.
"	 COMBAT_SPELL
Shield	Khiên Chắn	1	x	 	 	 	5	4	4	4	0	85	85	70	70	10	3	5	3	10	5	5	5	5	10	10	20	20	"{Khiên Chắn}

Tạo lá chắn cho đơn vị quân được chọn, giảm lượng sát thương nhận được từ các đòn đánh cận chiến.
"	"{Khiên Chắn Sơ Cấp}

Tạo lá chắn cho đơn vị quân được chọn, giảm lượng sát thương nhận được từ các đòn đánh cận chiến.
"	"{Khiên Chắn Thứ Cấp}

Tạo lá chắn cho đơn vị quân được chọn, giảm lượng sát thương nhận được từ các đòn đánh cận chiến.

Khả năng bảo vệ gấp 2 lần so với Khiên Chắn Sơ Cấp.
"	"{Khiên Chắn Cao Cấp}

Tạo lá chắn cho toàn bộ quân, giảm lượng sát thương nhận được từ các đòn đánh cận chiến.

Khả năng bảo vệ gấp 2 lần so với Khiên Chắn Sơ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Air Shield	Khiên Gió	3	 	 	 	x	12	9	9	9	0	75	75	50	50	4	8	8	2	4	4	8	4	4	20	20	50	50	"{Khiên Gió}

Che chở cho đơn vị quân được chọn, giảm lượng sát thương nhận được từ các đòn đánh tầm xa.
"	"{Khiên Gió Sơ Cấp}

Che chở cho đơn vị quân được chọn, giảm lượng sát thương nhận được từ các đòn đánh tầm xa.
"	"{Khiên Gió Thứ Cấp}

Che chở cho đơn vị quân được chọn, giảm lượng sát thương nhận được từ các đòn đánh tầm xa.

Khả năng bảo vệ gấp 2 lần so với Khiên Gió Sơ Cấp.
"	"{Khiên Gió Cao Cấp}

Che chở cho toàn bộ quân, giảm lượng sát thương nhận được từ các đòn đánh tầm xa.

Khả năng bảo vệ gấp 2 lần so với Khiên Gió Sơ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET_2
